;vote_id;comment_id;user_id;gender;age;content;vote;label
43;2558;1331;81;fem;32.0;Eu não tenho problemas, eu tenho soluções.;1;0.3333333333333333
118;1990;3097;64;masc;24.0;O maior apoio. Já passou da hora de as mulheres se liberarem. Ainda mais bonita como essa! Ah, meu Deus!;0;0.5
131;1559;1422;48;masc;24.0;Ficar pregando feminismo é fácil, quero ver é trocar o pneu de uma carreta.;1;1.0
184;1456;2366;31;fem;25.0;elas são minoria porque querem, nenhum homem obriga elas a estudar administração ou outra area, eu estudo ADS e tem mulheres na minha sala, então vamos parar de mimimi pfv rede E S G O T O de televisão...;1;1.0
187;2541;769;80;fem;27.0;Geralmente feministas são feias, gordas e por isso não recebem cantadas. Agora quem que as mulheres bonitas também não recebam. Não passam de invejosas.;1;1.0
259;3039;2773;102;fem;23.0;O MUNDO TA CHATO;1;0.75
281;1968;246;64;masc;24.0;Fora esquisito;0;0.3333333333333333
302;368;2140;10;masc;22.0;Se a conta do salão foi pro marido pagar...e se nunca se arrumou pro cara e derrepente resolveu se arrumar...mas pra outro...ah bichão perdeu a cabeça, era melhor ter pego outra baranguda desarrumada do q fazer isso ...Na boa mulher bonita g..osto..sa e suculenta é = melancia grande 1 só naum come sozinho.;1;1.0
323;210;2742;8;masc;24.0;No Brasil 60 milhões estão no SPC com dívidas na média de 3 mil reais.....aí o Zé muito mamado dá uns tapas na patroa vai em cana e depois chega a conta, 60 mil reais, internação, medicamentos, sala cirúrgica, psicologo, vão inventar o eskambau.....sabe quando o liso que ganha 2 salários mínimos vai pagar NUNCA e no Brasil ninguém vai preso por dívida ele vai preso pelos tapas.;0;0.3333333333333333
327;891;2683;24;fem;24.0;Quem agrediu primeiro????????????;1;1.0
350;4007;1474;148;fem;25.0;Um redator que sabe bem o quanto o feminismo causa ódio e polêmica (logo, visualizações) na massa acéfala de leitores do G1;1;0.3333333333333333
415;2871;589;93;masc;23.0;Sean Bailey estou contigo. Quero sair daqui assim que tiver condiçoes, antes que tenhamos que brigar por farinha e papel higiênico, como na Venezuela.;1;0.3333333333333333
443;200;44;8;masc;24.0;...exceto os falastrões destes comentários. Que também não tem avós.;0;0.6
455;3665;1585;127;fem;23.0;feia desse jeito, deveria é agradecer a Deus por alguem dizer algo de elogio, so ve nariz nessa horrorosa, e ainda fica com essa frescura toda.;1;1.0
572;281;761;1;fem;24.0;Concordo piamente !! Não aceito agressão física nem verbal.. .E digo mais: mulher que não leva cantada deve ser muito triste !! Qual mulher não gosta ?? Se alguma falar q não... aí tem problemas !;1;1.0
643;3984;360;147;masc;25.0;então suma do brasil, vai acompanhar o jean wilis kkk;0;0.3333333333333333
704;1098;1283;28;fem;22.0;Quanta vulgaridade, Jorge e Juliana. Vocês deveriam se envergonhar. Que papelão.;1;0.6666666666666666
711;857;2494;24;fem;24.0;kkkkkkkkkkkkk;0;0.3333333333333333
716;3871;935;143;masc;37.0;Até que emfim apareceu uma verdadeira mulher. Porque estas que estão denunciando os homens de assedio, não falam das mulheres que estão assediando a elas próprias.Interessante que acusam os homens que que foram  assediadas tanto tempo após o ato. Qual dessas assediadas apresentou uma queixa à polícia do acontecido.Houve uma que revelou que foi ao quarto do diretor para uma reunião e ele a assediou. É brincadeira, quem vai a um quarto de hotel para reunião de trabalho sozinha, está esperando o que?Reunião de trabalho dá-se em escritório e com várias pessoas da equipe presente.;1;1.0
720;203;2477;8;masc;24.0;"É isso ai cara.......a  Bruna diz isso pq  ela é a lavadeira da ""atriz"".";1;0.6666666666666666
769;513;2737;16;fem;21.0;O presidente propõe....kkkkkkkkkkk.....essa lei começou e terminou no Congresso o bozolino só fez sancionar, sua obrigação.;0;0.25
774;45;431;3;masc;46.0;Te dou razão nas suas palavras, mas não vejo opção melhor nas eleições, temos um Presidente mudando o Pais, espero que mude seu comportamento também, por que realmente a forma como ele responde e trata algumas pessoas é muito grosseira.;0;0.2
799;1633;2126;53;fem;23.0;Notícia sem nome e sem foto dos envolvidos pra mim é fake...;0;0.0
801;3913;2160;144;masc;29.0;Claro, a mulher deu uma marretada na própria cabeça e afundou seu crânio pra botar a culpa no cabra.;0;0.3333333333333333
970;3057;2078;103;fem;23.0;E as despesas que sua teve com a burrice desse covarde deveria ficar preso enquanto não pagar o último centavo das despesas e pagar a estadia na cadeia quer dizer quanto mais rápido ele ressarcir o sua mais barato fica pra ele;0;0.0
1018;4033;1663;148;fem;25.0;O coitado tem que usar óculos!!! ;1;1.0
1091;2540;448;80;fem;27.0;Salve Zira!;0;0.0
1092;1694;448;53;fem;23.0;Salve Zira!;0;0.0
1095;3211;1205;29;fem;27.0;Mulher adora um homem que não presta e aí... Apanha mesmo!!! Escolham homens que gostam de mulheres, que respeitam!! Basta ver pelos livros e filmes que são sucessos entre o publico feminino: 50 tons de porrada!! Para!!! A melhor coisa do mundo para um homem é ter ao seu lado uma mulher, esposa, mãe, cheirosa, bem humorada, companheira e apaixonada... Esta será eternamente feliz!;1;1.0
1096;1287;1205;31;fem;25.0;Mulher adora um homem que não presta e aí... Apanha mesmo!!! Escolham homens que gostam de mulheres, que respeitam!! Basta ver pelos livros e filmes que são sucessos entre o publico feminino: 50 tons de porrada!! Para!!! A melhor coisa do mundo para um homem é ter ao seu lado uma mulher, esposa, mãe, cheirosa, bem humorada, companheira e apaixonada... Esta será eternamente feliz!;1;1.0
1110;1210;2757;29;fem;27.0;Maravilha,  o que as monstrengas fe.minazis irão dizer agora ?;1;1.0
1122;722;863;22;masc;21.0;Estou pasmo!! Pensei que não existissem mais mulheres inteligentes nesse mundo!! Incrível!! Parabéns nobre, sensata e inteligente Catherine e demais mulheres do manifesto!!;0;0.6666666666666666
1176;797;2963;1;fem;24.0;Sei que isto que vou dizer não  justifica estes crimes, e nem concordo com a prática de nenhum tipo de agressão  às  mulheres.  Mas pergunto: quantas Najila da vida  nao existem por aí,  pintando e bordando com os homens, e lhes criando os mais diversos tipos de problemas na vida, se prevalendo dessas leis ?!;1;1.0
1183;2706;2711;83;masc;22.0;O cara bate o carro, todos lisos não tem seguro, uma conta de 3 mil reais o cara passa anos e não paga só quando o juiz manda penhorar o calhambeque dele aí ele paga.....imagine o zé da esquina bate na mulher 7 dias de internação a conta sai por 40 mil reais aí onde ele vai arranjar essa grana pra pagar e não tem casa, carro nada para penhorar.....vai morrer na cadeia e não paga.;1;1.0
1229;1670;725;56;masc;24.0;O Nível do Tal feminismo ,está perturbando até as mulheres.;1;1.0
1344;3659;385;127;fem;23.0;Constrangedor para ambas as Damas. Que barraco dos caras, vergonha para brasileiros e franceses.;0;0.0
1386;2758;1607;87;masc;21.0;Ela quis foi aparecer,tomara que nenhuma estrela de entrevista a ela!;1;1.0
1467;2995;2124;99;fem;22.0;BEM QUE ESTA mulher podia ser uma gaúcha, mas..........................;1;1.0
1545;736;766;23;masc;20.0;Catherine Deneuve  sabias palavras, o homem só desrespeita a mulher se ela dar abertura.;1;1.0
1572;4016;2826;132;fem;23.0;Em breve será acusado de assédio tbm.;1;0.6666666666666666
